Experiment_name, System, Variable, Value, Time
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.8304609574281789,            6.600000000000003
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.81471873606552,            6.800000000000003
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.557060417030721,            6.800000000000003
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.557060417030721,            6.800000000000003
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.77785822350438,            7.0000000000000036
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.3084253108103914,            7.0000000000000036
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.3084253108103914,            7.0000000000000036
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.728068476420116,            7.200000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.08408723167360765,            7.200000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.08408723167360765,            7.200000000000004
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.66661075988287,            7.400000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.11652448269622218,            7.400000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.11652448269622218,            7.400000000000004
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.594717081461086,            7.600000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.29407186970550203,            7.600000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.29407186970550203,            7.600000000000004
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.513585450054908,            7.800000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.4492977441400239,            7.800000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.4492977441400239,            7.800000000000004
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.424375672196744,            8.000000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.5830154236065566,            8.000000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.5830154236065566,            8.000000000000004
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.328205671178086,            8.200000000000003
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.6960988129318935,            8.200000000000003
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.6960988129318935,            8.200000000000003
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.226148312356768,            8.400000000000002
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.7894728785726484,            8.400000000000002
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.7894728785726484,            8.400000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.119228716245297,            8.600000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.8641045395174145,            8.600000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.8641045395174145,            8.600000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.008422039467224,            8.8
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9209939967803114,            8.8
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9209939967803114,            8.8
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.894651702383676,            9.0
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9611665193988266,            9.0
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9611665193988266,            9.0
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.778788041125042,            9.2
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9856647008660504,            9.2
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9856647008660504,            9.2
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.661647360902117,            9.399999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9955411961535345,            9.399999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9955411961535345,            9.399999999999999
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.543991366806079,            9.599999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9918519459205062,            9.599999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9918519459205062,            9.599999999999998
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.426526947826131,            9.799999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9756498911618583,            9.799999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9756498911618583,            9.799999999999997
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.309906289507023,            9.999999999999996
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9479791784235474,            9.999999999999996
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9479791784235474,            9.999999999999996
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.194727290524845,            10.199999999999996
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9098698528115421,            10.199999999999996
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.9098698528115421,            10.199999999999996
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.081534258468114,            10.399999999999995
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.8623330333398698,            10.399999999999995
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.8623330333398698,            10.399999999999995
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.97081886026152,            10.599999999999994
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.8063565627044207,            10.599999999999994
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.8063565627044207,            10.599999999999994
